"year","unitid","inst_name","state_name","years_since_entering_repay","repay_rate","repay_rate_female","repay_rate_male","repay_rate_firstgen","repay_count_female","repay_count_male","repay_count_firstgen"
"2016","203465","Kent State University at Stark","Ohio","7","0.624896","0.622206","0.629247","0.592363","8142","5033","6442"
"2016","203474","Kent State University at Trumbull","Ohio","3","0.470591","0.461365","0.486257","0.426354","11984","7058","9342"
"2016","203474","Kent State University at Trumbull","Ohio","5","0.511316","0.508334","0.51596","0.46919","10979","7049","9088"
"2016","203474","Kent State University at Trumbull","Ohio","7","0.624896","0.622206","0.629247","0.592363","8142","5033","6442"
"2016","203483","Kent State University at Tuscarawas","Ohio","3","0.470591","0.461365","0.486257","0.426354","11984","7058","9342"
"2016","203483","Kent State University at Tuscarawas","Ohio","5","0.511316","0.508334","0.51596","0.46919","10979","7049","9088"
"2016","203483","Kent State University at Tuscarawas","Ohio","7","0.624896","0.622206","0.629247","0.592363","8142","5033","6442"
"2016","203492","Kent State University at Salem","Ohio","3","0.470591","0.461365","0.486257","0.426354","11984","7058","9342"
"2016","203492","Kent State University at Salem","Ohio","5","0.511316","0.508334","0.51596","0.46919","10979","7049","9088"
"2016","203492","Kent State University at Salem","Ohio","7","0.624896","0.622206","0.629247","0.592363","8142","5033","6442"
"2016","203517","Kent State University at Kent","Ohio","3","0.470591","0.461365","0.486257","0.426354","11984","7058","9342"
